a1,a2,a3,g1,g2,g3,LABEL
6168,-14952,-3876,-654,-452,395,HEALTHY
6168,-14932,-4088,-515,-613,396,HEALTHY
6304,-14904,-3900,-607,-532,463,HEALTHY
6080,-15040,-4088,-519,-440,666,HEALTHY
6108,-14936,-3760,-521,-441,654,HEALTHY
6132,-15204,-4356,-649,-375,648,HEALTHY
5964,-14860,-4288,-529,-301,538,HEALTHY
5864,-14988,-4060,-486,-299,475,HEALTHY
5820,-15140,-4448,-502,-135,364,HEALTHY
5764,-14932,-4360,-527,68,462,HEALTHY
5616,-15060,-4188,-511,-34,389,HEALTHY
5484,-15000,-4464,-293,-217,278,HEALTHY
5384,-15000,-4612,-209,-206,159,HEALTHY
5408,-15048,-4440,74,-272,94,HEALTHY
5408,-14980,-4416,168,-220,16,HEALTHY
5476,-15072,-4372,129,-177,2,HEALTHY
5592,-15024,-4612,206,-133,-194,HEALTHY
5528,-15060,-4648,457,-195,-443,HEALTHY
5800,-14788,-4240,616,-51,-574,HEALTHY
5952,-14992,-3948,775,171,-320,HEALTHY
6016,-14816,-3496,733,87,-125,HEALTHY
6192,-14988,-3764,287,-284,14,HEALTHY
6108,-15080,-3544,311,-679,-243,HEALTHY
6588,-14948,-3244,416,-736,-389,HEALTHY
6728,-15144,-3260,387,-489,-289,HEALTHY
6740,-14896,-3048,187,-350,-112,HEALTHY
6864,-15428,-2880,10,-304,203,HEALTHY
6740,-15136,-3256,-195,-480,138,HEALTHY
6868,-15160,-3240,-233,-336,107,HEALTHY
6624,-15016,-3264,-314,-157,151,HEALTHY
6648,-15060,-3188,-488,-96,289,HEALTHY
6500,-15136,-3332,-610,-3,396,HEALTHY
6252,-15020,-3720,-679,29,492,HEALTHY
6012,-15012,-3944,-603,29,458,HEALTHY
5940,-14920,-3988,-414,-14,361,HEALTHY
5820,-15096,-3932,-372,-125,355,HEALTHY
5652,-15044,-3900,-339,-261,293,HEALTHY
5716,-15104,-3964,-367,-341,289,HEALTHY
5808,-15144,-3928,-342,-436,257,HEALTHY
5892,-15132,-3824,-296,-360,277,HEALTHY
5964,-15176,-3776,-315,-266,258,HEALTHY
6144,-15236,-3812,-230,-400,214,HEALTHY
6252,-15024,-3400,-303,-540,166,HEALTHY
6500,-15228,-3424,-359,-447,152,HEALTHY
6600,-15092,-3248,-555,-173,249,HEALTHY
6628,-15128,-3296,-891,-19,406,HEALTHY
6604,-15200,-3308,-1038,113,475,HEALTHY
6700,-15196,-3116,-1096,171,429,HEALTHY
6504,-15092,-3204,-1237,198,492,HEALTHY
6540,-15104,-3292,-1479,463,859,HEALTHY
6268,-14972,-3368,-1646,568,1040,HEALTHY
6060,-15120,-3564,-1774,520,1105,HEALTHY
5952,-14848,-4044,-1558,207,967,HEALTHY
5916,-14836,-4216,-1451,146,782,HEALTHY
5780,-15028,-4456,-1219,90,773,HEALTHY
5716,-14980,-4368,-1132,118,896,HEALTHY
5424,-14944,-4408,-1092,9,940,HEALTHY
5244,-15036,-4536,-944,-447,771,HEALTHY
5536,-15008,-4552,-687,-824,455,HEALTHY
5832,-14796,-4300,-444,-909,247,HEALTHY
5752,-14836,-4388,-310,-928,194,HEALTHY
6068,-15064,-3936,-345,-832,372,HEALTHY
6020,-15132,-3616,-543,-730,550,HEALTHY
6156,-15112,-4008,-746,-645,534,HEALTHY
5908,-15048,-4056,-693,-615,449,HEALTHY
6000,-14848,-4340,-615,-505,349,HEALTHY
5908,-15036,-4228,-454,-504,368,HEALTHY
5964,-15064,-4404,-449,-465,492,HEALTHY
6132,-15076,-4156,-490,-335,600,HEALTHY
5932,-15128,-4256,-644,-309,575,HEALTHY
5820,-15084,-4352,-581,-304,474,HEALTHY
5608,-15104,-4372,-454,-380,378,HEALTHY
5720,-15052,-4356,-391,-420,285,HEALTHY
5772,-14904,-4360,-337,-465,342,HEALTHY
5764,-15060,-4288,-416,-388,450,HEALTHY
5780,-15104,-4224,-555,-333,453,HEALTHY
5792,-15144,-4108,-517,-359,322,HEALTHY
5824,-15180,-4148,-396,-320,226,HEALTHY
5904,-14980,-4120,-297,-359,250,HEALTHY
5904,-15100,-4076,-344,-310,371,HEALTHY
5972,-15164,-4108,-491,-273,451,HEALTHY
5788,-15184,-3968,-512,-167,493,HEALTHY
5812,-15160,-3908,-648,-158,415,HEALTHY
5740,-15036,-3864,-681,-25,476,HEALTHY
5716,-15160,-4056,-557,-51,350,HEALTHY
5728,-15064,-4176,-617,7,461,HEALTHY
5664,-15060,-4104,-639,107,611,HEALTHY
5492,-14996,-4336,-834,44,641,HEALTHY
5752,-15372,-4580,-779,-340,728,HEALTHY
5324,-14972,-4444,-496,-312,355,HEALTHY
5628,-15124,-4312,-491,-303,319,HEALTHY
5720,-15072,-4340,-251,-448,168,HEALTHY
5736,-14968,-4336,-345,-412,301,HEALTHY
5632,-15040,-4092,-519,-392,471,HEALTHY
5612,-15088,-4292,-416,-540,457,HEALTHY
5800,-14952,-4492,-237,-559,376,HEALTHY
5772,-15028,-4328,-256,-479,300,HEALTHY
5708,-15124,-4260,-275,-505,240,HEALTHY
5540,-15128,-4080,-397,-442,197,HEALTHY
5644,-15144,-4328,-399,-420,106,HEALTHY
5644,-15028,-4384,-345,-368,123,HEALTHY
5540,-15096,-4360,-296,-363,162,HEALTHY
5568,-14992,-4536,-311,-407,126,HEALTHY
5604,-14964,-4444,-173,-479,111,HEALTHY
5780,-15056,-4588,-128,-380,144,HEALTHY
5684,-15288,-4172,-172,-394,126,HEALTHY
5880,-15132,-4184,-199,-419,80,HEALTHY
5864,-14944,-4356,-240,-285,76,HEALTHY
5716,-15060,-4192,-213,-238,87,HEALTHY
5688,-14972,-4196,-289,-233,217,HEALTHY
5652,-15056,-4260,-339,-268,298,HEALTHY
5516,-15196,-4432,-318,-285,269,HEALTHY
5448,-15064,-4380,-318,-292,119,HEALTHY
5448,-15116,-4320,-236,-255,43,HEALTHY
5552,-15200,-4104,-229,-287,66,HEALTHY
5740,-15148,-4344,-131,-432,39,HEALTHY
5812,-14964,-4360,-241,-349,57,HEALTHY
5952,-14724,-4448,-309,-335,195,HEALTHY
5908,-14880,-4592,-245,-240,234,HEALTHY
5672,-14980,-4520,-107,-223,221,HEALTHY
5608,-14940,-4416,-39,-215,155,HEALTHY
5568,-14912,-4368,-2,-345,10,HEALTHY
5556,-15244,-4108,126,-455,-29,HEALTHY
5468,-15068,-3976,157,-591,-79,HEALTHY
5496,-15044,-4020,57,-740,-108,HEALTHY
5668,-15088,-4152,-59,-829,-78,HEALTHY
5716,-15148,-4212,-132,-798,-12,HEALTHY
6024,-15404,-3980,-7,-795,-205,HEALTHY
6132,-15312,-3888,185,-691,-210,HEALTHY
6288,-14876,-3820,33,-501,-65,HEALTHY
6080,-14892,-3684,-221,-438,44,HEALTHY
6048,-14680,-3916,-535,-308,373,HEALTHY
5800,-14936,-4084,-479,-238,570,HEALTHY
5616,-15380,-4320,-377,-252,462,HEALTHY
5740,-15244,-4264,-450,-204,349,HEALTHY
5648,-15304,-4236,-580,-143,284,HEALTHY
5456,-15204,-4144,-567,-221,119,HEALTHY
